Category,Item Name,Regular Price,Image URL
Chicken From The Grill,1/4 Chicken and one side,R47.90,https://barcelos.co.za/wp-content/uploads/2021/07/grill-quarter-chicken-430x430-1.png
Chicken From The Grill,1/2 Chicken and one side,R92.90,https://barcelos.co.za/wp-content/uploads/2021/07/grill-half-chicken-430x430-1.png
Chicken From The Grill,Whole Chicken and one side,R175.90,https://barcelos.co.za/wp-content/uploads/2021/07/grill-full-chicken-430x430-1.png
Combos,Tasty Twins,R65.90,https://barcelos.co.za/wp-content/uploads/2021/07/combos-tasty-twins-430x430-1.png
Combos,Chicken Meal,R79.90,https://barcelos.co.za/wp-content/uploads/2021/07/combos-chicken-meal-430x430-2.png
Combos,Chicken Burger Combo,R73.80,https://barcelos.co.za/wp-content/uploads/2021/07/combos-chicken-burger-430x430-1.png
Combos,Chicken Schwarma Combo,R89.80,https://barcelos.co.za/wp-content/uploads/2021/07/combos-chicken-schwarma-430x430-1.png
Combos,Kebab Meal,R87.90,https://barcelos.co.za/wp-content/uploads/2021/07/combos-kebab-meal-430x430-1.png
Combos,Portuguese Galito Roll,R75.80,https://barcelos.co.za/wp-content/uploads/2021/07/combos-galito-roll-430x430-1.png
Combos,Super Ayoba Combo,R65.90,https://barcelos.co.za/wp-content/uploads/2021/07/local-favs-super-bafana-430x430-1.png
Combos,Chicken Cheese Burger,R79.80,https://barcelos.co.za/wp-content/uploads/2023/08/cheese-burger.png
Family Packs,Half Pack,R138.90,https://barcelos.co.za/wp-content/uploads/2023/08/half-pack.png
Family Packs,Family Pack,R274.90,https://barcelos.co.za/wp-content/uploads/2021/07/family-family-pack-430x430-2.png
Family Packs,Super Family Pack,R359.90,https://barcelos.co.za/wp-content/uploads/2023/08/super-family-pack.png
Burgers & Schwarmas,Beef Prego and one side,R68.90,https://barcelos.co.za/wp-content/uploads/2021/07/bgs-beef-prego-430x430-2.png
Burgers & Schwarmas,Beef Schwarma and one side,R75.90,https://barcelos.co.za/wp-content/uploads/2021/07/bgs-beef-schwarma-430x430-2.png
Burgers & Schwarmas,Chicken Burger and one side,R52.90,https://barcelos.co.za/wp-content/uploads/2023/08/chicken-burger.png
Burgers & Schwarmas,Chicken Prego and one side,R54.90,https://barcelos.co.za/wp-content/uploads/2021/07/bgs-prego-roll-chicken-430x430-1.png
Burgers & Schwarmas,Chicken Schwarma and one side,R68.90,https://barcelos.co.za/wp-content/uploads/2021/07/bgs-chicken-schwarma-430x430-1.png
Burgers & Schwarmas,Smash Chicken Burger and one side,R39.90,https://barcelos.co.za/wp-content/uploads/2021/07/bgs-budget-burger-430x430-2.png
Burgers & Schwarmas,Beef Burger and one side,R56.90,https://barcelos.co.za/wp-content/uploads/2021/07/bgs-beef-burger-430x430-2.png
Burgers & Schwarmas,Double Delicious and one side,R78.90,https://barcelos.co.za/wp-content/uploads/2021/07/combos-double-delicious-430x430-1.png
Local Favourites,Ayoba Meal,R41.90,https://barcelos.co.za/wp-content/uploads/2021/07/favs-bafana-meal-430x430-1.png
Local Favourites,Super Ayoba Meal,R65.90,https://barcelos.co.za/wp-content/uploads/2021/07/favs-super-bafana-meal-430x430-1.png
Local Favourites,Mega Ayoba Meal,R99.90,https://barcelos.co.za/wp-content/uploads/2021/07/favs-mega-bafana-meal-430x430-1.gif
Bowls,Chicken Bowl,R55.90,https://barcelos.co.za/wp-content/uploads/2021/07/bowls-chicken-bowl-430x430-2.png
Bowls,Beef Bowl,R69.90,https://barcelos.co.za/wp-content/uploads/2021/07/bowls-beef-430x430-1.png
Especially For You,Chicken Kebab in Roll and one side,R38.90,https://barcelos.co.za/wp-content/uploads/2021/07/especially-chicken-kebab-in-roll-430x430-1.gif
Especially For You,Chicken Livers and one side,R36.90,https://barcelos.co.za/wp-content/uploads/2021/07/especially-chicken-livers-430x430-1.gif
Especially For You,Chicken Trinchado,R56.90,https://barcelos.co.za/wp-content/uploads/2021/07/especially-trinchado-430x430-2.png
Especially For You,2 Kebabs and one side,R53.90,https://barcelos.co.za/wp-content/uploads/2021/07/especially-two-kebabs-430x430-1.png
Especially For You,6 Dippa Wings and one side,R53.90,https://barcelos.co.za/wp-content/uploads/2021/07/especially-6-dippa-wings-430x430-1.gif
Especially For You,Portuguese Galito Roll and one side,R54.90,https://barcelos.co.za/wp-content/uploads/2023/08/galito-roll.png
Fresh Salads,Regular Garden Salad,R26.90,https://barcelos.co.za/wp-content/uploads/2021/07/salads-garden-salad-430x430-3.png
Fresh Salads,Medium Garden Salasd,35.9,https://barcelos.co.za/wp-content/uploads/2021/07/salads-garden-salad-430x430-3.png
Fresh Salads,Large Garden Salad,42.9,https://barcelos.co.za/wp-content/uploads/2021/07/salads-garden-salad-430x430-3.png
Fresh Salads,Medium Mediterranean Salad,R46.90,https://barcelos.co.za/wp-content/uploads/2021/07/salads-mediterranean-Salad-430x430-1.png
Fresh Salads,Large Mediterranean Salad,57.9,https://barcelos.co.za/wp-content/uploads/2021/07/salads-mediterranean-Salad-430x430-1.png
Fresh Salads,Medium Chicken Salad,R60.90,https://barcelos.co.za/wp-content/uploads/2021/07/salads-chicken-salad-430x430-2.png
Fresh Salads,Large Chicken Salad,73.9,https://barcelos.co.za/wp-content/uploads/2021/07/salads-chicken-salad-430x430-2.png
Vegetarian,Vegetarian Burger,R83.80,https://barcelos.co.za/wp-content/uploads/2021/07/vegetarian-burger-with-chips-430x430-1.png
Vegetarian,Veggie Bowl,R62.90,https://barcelos.co.za/wp-content/uploads/2021/07/bowl-vegeterian-430x430-1.png
Vegetarian,Wholesome Vegetarian Schwarma,R83.80,https://barcelos.co.za/wp-content/uploads/2021/07/vegetarian-schwarma-with-chips-430x430-1.png
Kiddies,Kids Burger Meal,R72.90,https://barcelos.co.za/wp-content/uploads/2023/08/kids-burger-meal-2023-430x430-1.png
Kiddies,Kids Crumbed Chicken Strips & Chips,R72.90,https://barcelos.co.za/wp-content/uploads/2021/07/kiddies-crumbed-chicken-strips-430x430-1.png
Sides,Regular Potato Wedges,R25.90,https://barcelos.co.za/wp-content/uploads/2021/07/sides-wedges-430x430-1.gif
,Medium Potato Wedges,33.9,https://barcelos.co.za/wp-content/uploads/2021/07/sides-wedges-430x430-1.gif
